Stock,Stock Growth,Profit,BuyColumns,SellColumn,Wins,Losses,Entries,Exits,Winrate,Profit/StockGrowth
HIKAL.NS,109.75,86.36,atrBuySignal,atrSellSignal,14.0,25.0,39.0,39.0,35.9,0.79
ANDHRSUGAR.NS,133.98,85.8,atrBuySignal,atrSellSignal,16.0,25.0,41.0,41.0,39.02,0.64
RPPL.NS,115.85,85.75,"atrBuySignal,stochasticBuySignal",atrSellSignal,10.0,7.0,17.0,17.0,58.82,0.74
INDORAMA.NS,47.91,85.28,rsiBuySignal,atrSellSignal,12.0,25.0,37.0,37.0,32.43,1.78
BAJAJ-AUTO.NS,238.83,85.25,atrBuySignal,atrSellSignal,18.0,25.0,43.0,43.0,41.86,0.36
ALLSEC.NS,93.11,85.16,atrBuySignal,atrSellSignal,15.0,20.0,35.0,35.0,42.86,0.91
AKSHOPTFBR.NS,-62.42,84.74,"atrBuySignal,rsiBuySignal",atrSellSignal,13.0,19.0,32.0,32.0,40.62,-1.36
IFGLEXPOR.NS,262.04,84.7,atrBuySignal,atrSellSignal,10.0,23.0,33.0,33.0,30.3,0.32
KOTAKBANK.NS,150.79,84.62,atrBuySignal,atrSellSignal,20.0,23.0,43.0,43.0,46.51,0.56
MIDHANI.NS,356.75,84.55,atrBuySignal,atrSellSignal,11.0,20.0,31.0,31.0,35.48,0.24
AARON.NS,1276.31,84.47,"atrBuySignal,stochasticBuySignal",atrSellSignal,2.0,5.0,7.0,7.0,28.57,0.07
EQUITASBNK.NS,197.71,84.42,atrBuySignal,atrSellSignal,10.0,7.0,17.0,17.0,58.82,0.43
ALKEM.NS,184.56,84.41,rsiBuySignal,atrSellSignal,13.0,19.0,32.0,32.0,40.62,0.46
NILKAMAL.NS,31.18,84.36,"atrBuySignal,rsiBuySignal",atrSellSignal,9.0,13.0,22.0,22.0,40.91,2.71
ETHOSLTD.NS,193.44,84.14,rsiBuySignal,atrSellSignal,6.0,3.0,9.0,9.0,66.67,0.43
AUROPHARMA.NS,60.93,83.81,atrBuySignal,atrSellSignal,16.0,26.0,42.0,42.0,38.1,1.38
GENSOL.NS,95.44,83.72,atrBuySignal,atrSellSignal,3.0,1.0,4.0,4.0,75.0,0.88
MTEDUCARE.NS,-97.07,83.49,atrBuySignal,atrSellSignal,13.0,20.0,34.0,34.0,38.24,-0.86
SANDUMA.NS,76.75,83.14,"atrBuySignal,rsiBuySignal",atrSellSignal,1.0,0.0,1.0,1.0,100.0,1.08
KCP.NS,93.62,83.1,atrBuySignal,atrSellSignal,16.0,19.0,35.0,35.0,45.71,0.89
AUTOAXLES.NS,197.04,82.96,"atrBuySignal,rsiBuySignal",atrSellSignal,12.0,22.0,34.0,34.0,35.29,0.42
IOC.NS,52.68,82.52,atrBuySignal,atrSellSignal,16.0,27.0,44.0,44.0,36.36,1.57
M&M.NS,238.74,82.11,atrBuySignal,atrSellSignal,22.0,25.0,47.0,47.0,46.81,0.34
